CountryName,Indicator
Andorra,94
Aruba,78.9
Australia,83
Austria,80.6
"Bahamas, The",72
Bahrain,90
Barbados,75
Belgium,82.2
Bermuda,95.3
Canada,85.8
Cayman Islands,74.1
Czech Republic,74.1
Denmark,94.6
Estonia,80
Euro area,75.8
European Union,75.5
Faeroe Islands,90
Finland,91.5
France,81.9
Germany,84
High income,78.2
"Hong Kong SAR, China",74.2
Hungary,72.6
Iceland,96.5
Ireland,78.2
Israel,70.8
Japan,86.3
"Korea, Rep.",84.8
Kuwait,75.5
Latvia,75.2
Lebanon,70.5
Liechtenstein,93.8
Luxembourg,93.8
Monaco,90.7
Netherlands,94
New Zealand,82.8
Norway,95.1
OECD members,75.4
Puerto Rico,73.9
Qatar,85.3
Singapore,73
Slovak Republic,77.9
Slovenia,72.7
Spain,71.6
St. Kitts and Nevis,80
Sweden,94.8
Switzerland,86.7
United Arab Emirates,88
United Kingdom,89.8
United States,84.2
